Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/CAR NOTOFICATIONS,Chrome 125.0.0.0,,,13-06-2024 14:38:43,13-06-2024 14:39:00,16.299s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:38:44,13-06-2024 14:38:44,0.866s,PASSED
"navigateToUrl(""https://www.icar.org.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:38:44,13-06-2024 14:38:55,10.623s,PASSED
"click(findTestObject(""Object Repository/CAR NOTOFICATIONS/Page_Home  Indian Council of Agricultural R_06e979/span_Ministry of Agriculture and Farmers We_4c7543""))",Chrome 125.0.0.0,,,13-06-2024 14:38:55,13-06-2024 14:38:55,0.315s,PASSED
"click(findTestObject(""Object Repository/CAR NOTOFICATIONS/Page_Home  Indian Council of Agricultural R_06e979/a_Notification""))",Chrome 125.0.0.0,,,13-06-2024 14:38:55,13-06-2024 14:38:56,0.418s,PASSED
"click(findTestObject(""Object Repository/CAR NOTOFICATIONS/Page_Latest Updates  ICAR/a_Circulars""))",Chrome 125.0.0.0,,,13-06-2024 14:38:56,13-06-2024 14:38:57,1.473s,PASSED
"click(findTestObject(""Object Repository/CAR NOTOFICATIONS/Page_Circulars Data  ICAR/a_Tenders""))",Chrome 125.0.0.0,,,13-06-2024 14:38:57,13-06-2024 14:38:58,1.095s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:38:58,13-06-2024 14:39:00,1.412s,PASSED
,,,,,,,
Test Cases/CAR RTI,Chrome 125.0.0.0,,,13-06-2024 14:39:00,13-06-2024 14:39:13,13.587s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:39:00,13-06-2024 14:39:01,1.101s,PASSED
"navigateToUrl(""https://www.icar.org.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:39:01,13-06-2024 14:39:10,9.479s,PASSED
"click(findTestObject(""Object Repository/CAR RTI/Page_Home  Indian Council of Agricultural R_06e979/span_Ministry of Agriculture and Farmers We_4c7543""))",Chrome 125.0.0.0,,,13-06-2024 14:39:10,13-06-2024 14:39:11,0.307s,PASSED
"click(findTestObject(""Object Repository/CAR RTI/Page_Home  Indian Council of Agricultural R_06e979/a_RTI""))",Chrome 125.0.0.0,,,13-06-2024 14:39:11,13-06-2024 14:39:11,0.404s,PASSED
"click(findTestObject(""Object Repository/CAR RTI/Page_Right to Information Act  ICAR/td_CircularsOrders related to RTI""))",Chrome 125.0.0.0,,,13-06-2024 14:39:11,13-06-2024 14:39:12,0.744s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:39:12,13-06-2024 14:39:13,1.460s,PASSED
,,,,,,,
Test Cases/CAR/CAR HOME,Chrome 125.0.0.0,,,13-06-2024 14:39:13,13-06-2024 14:39:29,15.859s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:39:13,13-06-2024 14:39:14,0.765s,PASSED
"navigateToUrl(""https://www.icar.org.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:39:14,13-06-2024 14:39:24,10.150s,PASSED
"click(findTestObject(""Object Repository/CAR HOMEPAGE/Page_Home  Indian Council of Agricultural R_06e979/span_Ministry of Agriculture and Farmers We_4c7543""))",Chrome 125.0.0.0,,,13-06-2024 14:39:24,13-06-2024 14:39:25,0.307s,PASSED
"click(findTestObject(""Object Repository/CAR HOMEPAGE/Page_Home  Indian Council of Agricultural R_06e979/a_Home""))",Chrome 125.0.0.0,,,13-06-2024 14:39:25,13-06-2024 14:39:25,0.510s,PASSED
"click(findTestObject(""Object Repository/CAR HOMEPAGE/Page_Home  Indian Council of Agricultural R_06e979/a_View All""))",Chrome 125.0.0.0,,,13-06-2024 14:39:25,13-06-2024 14:39:26,1.021s,PASSED
"click(findTestObject(""Object Repository/CAR HOMEPAGE/Page_Latest Updates  ICAR/a_Tenders""))",Chrome 125.0.0.0,,,13-06-2024 14:39:26,13-06-2024 14:39:27,1.112s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:39:27,13-06-2024 14:39:29,1.972s,PASSED
,,,,,,,
Test Cases/CAR ABOUT US,Chrome 125.0.0.0,,,13-06-2024 14:39:29,13-06-2024 14:39:45,16.095s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:39:29,13-06-2024 14:39:30,0.824s,PASSED
"navigateToUrl(""https://www.icar.org.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:39:30,13-06-2024 14:39:42,11.454s,PASSED
